"","Facetvar","Variant","Budget","MSE","MSE_ribbon_min","MSE_ribbon_max"
"231","K=(4, 5)","inverse_variance_weighting",10000,0.179664798323469,0.170454793787543,0.188874802859395
"232","K=(4, 5)","inverse_variance_weighting_optimal",50,0.994141208509687,0.753470610401475,1.2348118066179
"233","K=(4, 5)","inverse_variance_weighting_optimal",100,0.348418692963095,0.29336995335308,0.40346743257311
"234","K=(4, 5)","inverse_variance_weighting_optimal",250,0.345433323139658,0.305495764163733,0.385370882115582
"235","K=(4, 5)","inverse_variance_weighting_optimal",500,0.31242285370146,0.281896735395921,0.342948972006999
"236","K=(4, 5)","inverse_variance_weighting_optimal",750,0.239387024045561,0.211293963625749,0.267480084465373
"237","K=(4, 5)","inverse_variance_weighting_optimal",1000,0.245480761633113,0.217453892515364,0.273507630750863
"238","K=(4, 5)","inverse_variance_weighting_optimal",2000,0.203047706403458,0.183583325974365,0.222512086832551
"239","K=(4, 5)","inverse_variance_weighting_optimal",3500,0.1862798254861,0.174471251284046,0.198088399688153
"240","K=(4, 5)","inverse_variance_weighting_optimal",5000,0.199921461244008,0.190082401816091,0.209760520671925
"241","K=(4, 5)","inverse_variance_weighting_optimal",7500,0.181597663708528,0.173534351620416,0.189660975796639
"242","K=(4, 5)","inverse_variance_weighting_optimal",10000,0.18033110972301,0.171200700171788,0.189461519274233
"243","K=(4, 5)","mean",50,0.726246932639552,0.580041195875147,0.872452669403956
"244","K=(4, 5)","mean",100,0.565390838780793,0.445657778427801,0.685123899133785
"245","K=(4, 5)","mean",250,0.32704684724573,0.28816411826403,0.365929576227429
"246","K=(4, 5)","mean",500,0.354319631786732,0.312527168673036,0.396112094900428
"247","K=(4, 5)","mean",750,0.250048922063689,0.215030444834048,0.285067399293329
"248","K=(4, 5)","mean",1000,0.242809780579768,0.213094553459312,0.272525007700224
"249","K=(4, 5)","mean",2000,0.215835348681571,0.193472487043317,0.238198210319825
"250","K=(4, 5)","mean",3500,0.202289372631299,0.187604886942481,0.216973858320117
"251","K=(4, 5)","mean",5000,0.204729301067864,0.192349026714843,0.217109575420884
"252","K=(4, 5)","mean",7500,0.17893426098393,0.168594551480417,0.189273970487444
"253","K=(4, 5)","mean",10000,0.191159468611099,0.180650406247369,0.20166853097483
"254","K=(4, 5)","player_4",50,1.64009215944348,1.2443309846372,2.03585333424976
"255","K=(4, 5)","player_4",100,0.489339867486139,0.391325743919481,0.587353991052796
"256","K=(4, 5)","player_4",250,0.46874438807708,0.409003794549855,0.528484981604304
"257","K=(4, 5)","player_4",500,0.33772325959844,0.295579173994487,0.379867345202393
"258","K=(4, 5)","player_4",750,0.253121282339902,0.224641915330799,0.281600649349005
"259","K=(4, 5)","player_4",1000,0.27346999884468,0.240316209979364,0.306623787709996
"260","K=(4, 5)","player_4",2000,0.205733093319315,0.183783975735858,0.227682210902771
"261","K=(4, 5)","player_4",3500,0.178075369461179,0.165182200456574,0.190968538465785
"262","K=(4, 5)","player_4",5000,0.200315090507905,0.188989340700002,0.211640840315808
"263","K=(4, 5)","player_4",7500,0.188028696221111,0.179062557112214,0.196994835330007
"264","K=(4, 5)","player_4",10000,0.173578756473569,0.163714486251721,0.183443026695416
"265","K=(4, 5)","player_5",50,1.14960621865765,0.941558104425291,1.35765433289
"266","K=(4, 5)","player_5",100,2.10988159359947,1.60988643984539,2.60987674735355
"267","K=(4, 5)","player_5",250,0.625785715419148,0.49403597709974,0.757535453738556
"268","K=(4, 5)","player_5",500,0.638295459497756,0.530045209703078,0.746545709292433
"269","K=(4, 5)","player_5",750,0.345419927416873,0.286572438334547,0.404267416499198
"270","K=(4, 5)","player_5",1000,0.317558072818851,0.273702035037974,0.361414110599728
"271","K=(4, 5)","player_5",2000,0.286240239944272,0.244478479074713,0.32800200081383
"272","K=(4, 5)","player_5",3500,0.25455260161471,0.22698191684014,0.28212328638928
"273","K=(4, 5)","player_5",5000,0.229430583431679,0.205518359033918,0.253342807829441
"274","K=(4, 5)","player_5",7500,0.1861484934896,0.16829698860574,0.203999998373461
"275","K=(4, 5)","player_5",10000,0.222668450342997,0.204927190259331,0.240409710426662
"276","K=(4, 6)","inverse_variance_weighting",50,1.43335056365377,1.23219220728711,1.63450892002043
